title,number_of_videos,created_date,playlist_url,miniatures,descriptions,Details de la playlist
Native American History,14,2025-04-29,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNNaritQa7QqwEJeQHH0TxX"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/FgyEIjQ0cr4/default.jpg "" width=190>","""Welcome to Crash Course Native American History! Over the next 24 episodes, Che Jim will introduce you to the deep, ongoing history of the Indigenous peoples who’ve called these lands home from time immemorial to today.  

Course Description:
Over the course of 24 episodes, we’re going to learn about Native American history. Host Che Jim will teach you about the deep, ongoing history of Native peoples in what’s now known as the United States—from time immemorial to the Land Back movement.

This content was developed with a team of Indigenous experts, and based on an introductory college-level curriculum. By the end of this course you should be able to:
- Analyze the political and legal relationship between Native nations and the U.S. government
- Develop an informed perspective on distinct Native cultures’ traditions, practices, and worldview 
- Draw connections between the past and present, in the continued existence and experiences of Native individuals and Native nations
- Highlight key figures in Native American history and illustrate their achievements and contributions","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNNaritQa7QqwEJeQHH0TxX&name=Native%20American%20History"">Afficher les détails</a>"
Sex Ed,16,2025-03-06,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMweg6Yx9MHP01n_yUyaf9H"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/rO9pOJbvkEA/default.jpg "" width=190>","Welcome to Crash Course Sex Ed! Over the course of 15 episodes, sexologist Shan Boodram will introduce you to the surprising, fascinating, wildly diverse, utterly normal realm of human sexuality. This series will explore the many dimensions of sex—from your body, to your personal identity, to the society around you—so you have the facts you need to make the right choices for you.

By the end of this course, you will be able to:
- Reflect on the ways society shapes our understanding of sex, sexuality, and bodily autonomy
- Explain the functions of anatomy in terms of both reproduction and sexual response
 - Describe the differences between sex, sexual orientation, gender identity, and gender expression, and how our understanding of these aspects of identity continues to evolve 
- Think critically about how sexual consent is communicated
- Describe how unintended pregnancy and STIs can be prevented
- Explore how we identify ourselves and others as sexual beings","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMweg6Yx9MHP01n_yUyaf9H&name=Sex%20Ed"">Afficher les détails</a>"
Women's History Highlights,30,2025-03-04,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtN6Aw10OTljkdfPkbf9Vei5"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/1mVuM6OeT7w/default.jpg "" width=190>","For Women's History Month and beyond, we're highlighting some key stories and accomplishments made by women throughout the ages. With this playlist, your students can learn about major milestones and concepts found throughout women's history (and don't worry if you learn a little something, too—we won't tell anyone).","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtN6Aw10OTljkdfPkbf9Vei5&name=Women%27s%20History%20Highlights"">Afficher les détails</a>"
Presidents and the Presidency of the United States,12,2025-01-10,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNho9WwHDP2ERyEVLg3P8Qe"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/5vnuFJSMYkY/default.jpg "" width=190>",Happy Presidents Day! Use your day off to learn about the US presidency with Crash Course!,"<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNho9WwHDP2ERyEVLg3P8Qe&name=Presidents%20and%20the%20Presidency%20of%20the%20United%20States"">Afficher les détails</a>"
Political Theory,14,2024-11-05,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMLFBLgZgEDglkTrApbatwk"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/LU7flL6Q0f8/default.jpg "" width=190>","Over the next 13 episodes, Ellie Anderson will introduce you to the perspectives of political thinkers past and present, and explore how political theories apply to the most burning questions of our time. We’ll compare arguments, trace the origins of contemporary theories, and develop the skills to discuss, disagree, and decide what we want society to be.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMLFBLgZgEDglkTrApbatwk&name=Political%20Theory"">Afficher les détails</a>"
Religions,25,2024-09-10,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNDV8GjzfScxgEe4OgIlh3c"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/O77IFewBxcg/default.jpg "" width=190>",John Green teaches you about Religions!,"<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNDV8GjzfScxgEe4OgIlh3c&name=Religions"">Afficher les détails</a>"
Crash Course Pods: The Universe,12,2024-04-24,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPrbBlasHP1BA23MwXJ8Gpm"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/L5YO9nmojo4/default.jpg "" width=190>","Dr. Katie Mack, a theoretical astrophysicist, walks #1 New York Times bestselling author John Green through the history of the entire universe - including the parts that haven’t been written yet.

Episodes will be released every two weeks, starting April 24, 2024.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPrbBlasHP1BA23MwXJ8Gpm&name=Crash%20Course%20Pods%3A%20The%20Universe"">Afficher les détails</a>"
Art History,23,2024-04-04,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMg4YXg6jCIDMbHUDaHDXXZ"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/T6RJUzuVq4w/default.jpg "" width=190>","Over the course of 22 episodes, we’re going to learn about art history—the study of objects and images to understand their meaning and the people, places, and times they come from. Sarah Urist Green will equip you with a toolbox of terms to analyze and evaluate art, draw connections between different cultures and time periods, and ask big questions about how history gets made. This content is partially based on the AP Art History curriculum and that of an introductory university-level course. By the end of this series, you should be able to: *Recognize and understand the context of visual/material culture from prehistory to the present*Use the context of a wide array of voices from many different regions to analyze art and provide a nuanced interpretation of material culture*Understand the interconnectedness of global cultures by examining overlapping themes, materials, and technique*Grasp the ways 20th and 21st century art have ushered in, and continue to pave the way for, subsequent movements, as well as advancing contemporary themes, issues, and debates in art history*Use tools and vocabulary to apply what you have learned in the series to art and design in your daily lifeKey texts cited include: Art History Volume 1, 6th edition by Marilyn Stokstad and Michael W. Cothren (2018), Art History Volume 2, 6th edition by Marilyn Stokstad and Michael W. Cothren (2018), Smarthistory: Reframing Art History, edited by Dr. Lauren Kilroy-Ewbank.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMg4YXg6jCIDMbHUDaHDXXZ&name=Art%20History"">Afficher les détails</a>"
Crash Course At The Movies,27,2024-01-22,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPjBvxXl7gmd4lntmEjsxuk"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/vsnB4iBb78o/default.jpg "" width=190>","Lights, camera, action! We're rolling on the best Crash Course videos about one of our favorite pastimes: movies! Learn about the nuts and bolts behind movie magic, media portrayals of adolescence, how Netflix decides which movies to recommend to you, and what the film industry looks like in different parts of the world.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPjBvxXl7gmd4lntmEjsxuk&name=Crash%20Course%20At%20The%20Movies"">Afficher les détails</a>"
Crash Course for Spooky Season,12,2023-10-10,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMOkRxwe41bAEwQ7gEC6GVe"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/0OCPQG4bMFs/default.jpg "" width=190>","Spooky season is here, and we’ve got just the thing to give you the heebie jeebies. Check out our playlist of Crash Course’s creepiest videos to get in the Halloween spirit.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMOkRxwe41bAEwQ7gEC6GVe&name=Crash%20Course%20for%20Spooky%20Season"">Afficher les détails</a>"
